#,Bit Range,Private Key Range,Private Key (HEX),Bitcoin Address,% of the Range,Solved,Solver
1,20...21-1,1...1,,1BgGZ9tcN4rm9KBzDn7KprQz87SZ26SAMH,,,
1,20...21-1,1...1,,1BgGZ9tcN4rm9KBzDn7KprQz87SZ26SAMH,,,
1,20...21-1,1...1,,1BgGZ9tcN4rm9KBzDn7KprQz87SZ26SAMH,,,
1,20...21-1,1...1,,1BgGZ9tcN4rm9KBzDn7KprQz87SZ26SAMH,,,
10,29...210-1,200...3ff,,1LeBZP5QCwwgXRtmVUvTVrraqPUokyLHqe,,,
10,29...210-1,200...3ff,,1LeBZP5QCwwgXRtmVUvTVrraqPUokyLHqe,,,
10,29...210-1,200...3ff,,1LeBZP5QCwwgXRtmVUvTVrraqPUokyLHqe,,,
10,29...210-1,200...3ff,,1LeBZP5QCwwgXRtmVUvTVrraqPUokyLHqe,,,
11,210...211-1,400...7ff,,1PgQVLmst3Z314JrQn5TNiys8Hc38TcXJu,,,
11,210...211-1,400...7ff,,1PgQVLmst3Z314JrQn5TNiys8Hc38TcXJu,,,
11,210...211-1,400...7ff,,1PgQVLmst3Z314JrQn5TNiys8Hc38TcXJu,,,
11,210...211-1,400...7ff,,1PgQVLmst3Z314JrQn5TNiys8Hc38TcXJu,,,
12,211...212-1,800...fff,,1DBaumZxUkM4qMQRt2LVWyFJq5kDtSZQot,,,
12,211...212-1,800...fff,,1DBaumZxUkM4qMQRt2LVWyFJq5kDtSZQot,,,
12,211...212-1,800...fff,,1DBaumZxUkM4qMQRt2LVWyFJq5kDtSZQot,,,
12,211...212-1,800...fff,,1DBaumZxUkM4qMQRt2LVWyFJq5kDtSZQot,,,
13,212...213-1,1000...1fff,,1Pie8JkxBT6MGPz9Nvi3fsPkr2D8q3GBc1,,,
13,212...213-1,1000...1fff,,1Pie8JkxBT6MGPz9Nvi3fsPkr2D8q3GBc1,,,
13,212...213-1,1000...1fff,,1Pie8JkxBT6MGPz9Nvi3fsPkr2D8q3GBc1,,,
13,212...213-1,1000...1fff,,1Pie8JkxBT6MGPz9Nvi3fsPkr2D8q3GBc1,,,
14,213...214-1,2000...3fff,,1ErZWg5cFCe4Vw5BzgfzB74VNLaXEiEkhk,,,
14,213...214-1,2000...3fff,,1ErZWg5cFCe4Vw5BzgfzB74VNLaXEiEkhk,,,
14,213...214-1,2000...3fff,,1ErZWg5cFCe4Vw5BzgfzB74VNLaXEiEkhk,,,
14,213...214-1,2000...3fff,,1ErZWg5cFCe4Vw5BzgfzB74VNLaXEiEkhk,,,
15,214...215-1,4000...7fff,,1QCbW9HWnwQWiQqVo5exhAnmfqKRrCRsvW,,,
15,214...215-1,4000...7fff,,1QCbW9HWnwQWiQqVo5exhAnmfqKRrCRsvW,,,
15,214...215-1,4000...7fff,,1QCbW9HWnwQWiQqVo5exhAnmfqKRrCRsvW,,,
15,214...215-1,4000...7fff,,1QCbW9HWnwQWiQqVo5exhAnmfqKRrCRsvW,,,
16,215...216-1,8000...ffff,,1BDyrQ6WoF8VN3g9SAS1iKZcPzFfnDVieY,,,
16,215...216-1,8000...ffff,,1BDyrQ6WoF8VN3g9SAS1iKZcPzFfnDVieY,,,
16,215...216-1,8000...ffff,,1BDyrQ6WoF8VN3g9SAS1iKZcPzFfnDVieY,,,
16,215...216-1,8000...ffff,,1BDyrQ6WoF8VN3g9SAS1iKZcPzFfnDVieY,,,
17,216...217-1,10000...1ffff,,1HduPEXZRdG26SUT5Yk83mLkPyjnZuJ7Bm,,,
17,216...217-1,10000...1ffff,,1HduPEXZRdG26SUT5Yk83mLkPyjnZuJ7Bm,,,
17,216...217-1,10000...1ffff,,1HduPEXZRdG26SUT5Yk83mLkPyjnZuJ7Bm,,,
17,216...217-1,10000...1ffff,,1HduPEXZRdG26SUT5Yk83mLkPyjnZuJ7Bm,,,
18,217...218-1,20000...3ffff,,1GnNTmTVLZiqQfLbAdp9DVdicEnB5GoERE,,,
18,217...218-1,20000...3ffff,,1GnNTmTVLZiqQfLbAdp9DVdicEnB5GoERE,,,
18,217...218-1,20000...3ffff,,1GnNTmTVLZiqQfLbAdp9DVdicEnB5GoERE,,,
18,217...218-1,20000...3ffff,,1GnNTmTVLZiqQfLbAdp9DVdicEnB5GoERE,,,
19,218...219-1,40000...7ffff,,1NWmZRpHH4XSPwsW6dsS3nrNWfL1yrJj4w,,,
19,218...219-1,40000...7ffff,,1NWmZRpHH4XSPwsW6dsS3nrNWfL1yrJj4w,,,
19,218...219-1,40000...7ffff,,1NWmZRpHH4XSPwsW6dsS3nrNWfL1yrJj4w,,,
19,218...219-1,40000...7ffff,,1NWmZRpHH4XSPwsW6dsS3nrNWfL1yrJj4w,,,
2,21...22-1,2...3,,1CUNEBjYrCn2y1SdiUMohaKUi4wpP326Lb,,,
2,21...22-1,2...3,,1CUNEBjYrCn2y1SdiUMohaKUi4wpP326Lb,,,
2,21...22-1,2...3,,1CUNEBjYrCn2y1SdiUMohaKUi4wpP326Lb,,,
2,21...22-1,2...3,,1CUNEBjYrCn2y1SdiUMohaKUi4wpP326Lb,,,
20,219...220-1,80000...fffff,,1HsMJxNiV7TLxmoF6uJNkydxPFDog4NQum,,,
20,219...220-1,80000...fffff,,1HsMJxNiV7TLxmoF6uJNkydxPFDog4NQum,,,
20,219...220-1,80000...fffff,,1HsMJxNiV7TLxmoF6uJNkydxPFDog4NQum,,,
20,219...220-1,80000...fffff,,1HsMJxNiV7TLxmoF6uJNkydxPFDog4NQum,,,
21,220...221-1,100000...1fffff,,14oFNXucftsHiUMY8uctg6N487riuyXs4h,,,
21,220...221-1,100000...1fffff,,14oFNXucftsHiUMY8uctg6N487riuyXs4h,,,
21,220...221-1,100000...1fffff,,14oFNXucftsHiUMY8uctg6N487riuyXs4h,,,
21,220...221-1,100000...1fffff,,14oFNXucftsHiUMY8uctg6N487riuyXs4h,,,
22,221...222-1,200000...3fffff,,1CfZWK1QTQE3eS9qn61dQjV89KDjZzfNcv,,,
22,221...222-1,200000...3fffff,,1CfZWK1QTQE3eS9qn61dQjV89KDjZzfNcv,,,
22,221...222-1,200000...3fffff,,1CfZWK1QTQE3eS9qn61dQjV89KDjZzfNcv,,,
